name,service_type,lat,lng,phone,phone_source,address,district,state,country,postcode,operator,source,last_verified
Shell,fuel,51.9101157,8.8749867,49523147175,real,77 Paderborner Straße,Detmold,Canillo,AD,32760,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
Bundespolizei,police,52.0294306,8.5335255,49521966870,real,1b Am Bahnhof,Bielefeld,Canillo,DE,33602,Bundespolizei,osm_enriched,2026-05-26T10:32:05.929487+00:00
Famila Tankstelle,fuel,52.6429606,9.1982255,49502192052,real,20 Lemker Straße,Nienburg/Weser,Canillo,AD,31582,famila,osm_enriched,2026-05-26T10:32:05.929487+00:00
OIL! Tankstelle,fuel,51.4493369,6.9996006,112,fallback,8 Schederhofstraße,Essen,Canillo,DE,45145,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.442292,6.9760859,112,fallback,36 Kämpenstraße,Essen,Canillo,DE,45147,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.3668718,7.2527493,112,fallback,4 Bochumer Straße,Sprockhövel,Canillo,DE,45549,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
ORLEN,fuel,52.411441,9.7479747,112,fallback,33 Sahlkamp,Hannover,Canillo,DE,30179,,osm_enriched,2026-05-26T10:32:05.929487+00:00
SB Tank,fuel,52.337367,9.3834379,112,fallback,,El Tarter,Canillo,AD,,K.-L. ERTMER TANKSTELLEN GMBH,osm_enriched,2026-05-26T10:32:05.929487+00:00
CLASSIC Wevag,fuel,51.8213121,6.6135063,112,fallback,1 Schaffeldstraße,Bocholt,Canillo,AD,46395,WEVAG Weyers & Vagedes,osm_enriched,2026-05-26T10:32:05.929487+00:00
bft,fuel,51.89699,6.9744246,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Star,fuel,52.0668534,8.7683099,112,fallback,,El Tarter,Canillo,AD,,Star,osm_enriched,2026-05-26T10:32:05.929487+00:00
Orlen,fuel,53.5989932,9.8464913,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Star,fuel,53.4847118,9.1545134,4947612621,real,Am Hafen,Bremervörde,Canillo,DE,27432,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Classic,fuel,53.4831074,9.1590921,4947612597,real,1 Zevener Straße,Bremervörde,Canillo,DE,27432,Grimm,osm_enriched,2026-05-26T10:32:05.929487+00:00
RAISA On GmbH,fuel,53.4847708,9.1600151,494761749107,real,15 Stader Straße,Bremervörde,Canillo,DE,27432,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Nord Oel,fuel,53.4780694,9.1389808,112,fallback,47 Gnarrenburger Straße,Bremervörde,Canillo,AD,27432,,osm_enriched,2026-05-26T10:32:05.929487+00:00
OIL!,fuel,53.4896128,9.1366493,112,fallback,21 Wesermünder Straße,Bremervörde,Canillo,AD,27432,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso,fuel,53.3750064,9.2152773,494284410,real,9 Hauptstraße,Selsingen,Canillo,DE,27446,Esso,osm_enriched,2026-05-26T10:32:05.929487+00:00
Jet,fuel,53.5795732,9.8528009,494080783845,real,83 Rugenbarg,Hamburg,Canillo,DE,22549,Jet,osm_enriched,2026-05-26T10:32:05.929487+00:00
AVIA Helden,fuel,51.3276219,6.0019539,31773522603,real,87 Molenstraat,Helden,Canillo,NL,5988NS,Vollenhoven,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell Vissers,fuel,51.3780995,6.0006574,31850861226,real,8 A67,Maasbree,Canillo,AD,5993RM,Vissers,osm_enriched,2026-05-26T10:32:05.929487+00:00
BP Zwarte Water,fuel,51.3937109,6.1834194,31883130234,real,25 Europaweg,Venlo,Canillo,AD,5916RP,Haan,osm_enriched,2026-05-26T10:32:05.929487+00:00
BP,fuel,51.3960985,6.1614816,31774723110,real,21 Europaweg,Venlo,Canillo,AD,5916RP,OK,osm_enriched,2026-05-26T10:32:05.929487+00:00
Freie Tankstelle Seifert,fuel,52.3297989,9.3704857,49572374540,real,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
AVIA XPress,fuel,52.2127163,6.904986,31534316341,real,186 Hogelandsingel,Enschede,Canillo,AD,7512GK,Weghorst,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso Express,fuel,52.4028411,6.7894542,112,fallback,33a L. von Bönninghausenstraat,Tubbergen,Canillo,AD,7651AA,EG Group,osm_enriched,2026-05-26T10:32:05.929487+00:00
Tango Wapenveld,fuel,52.433329,6.0683524,31703152500,real,42 Groteweg,Wapenveld,Canillo,AD,8191JX,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Freiwillige Feuerwehr Uedem,fire_station,51.6696001,6.2701288,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
OK De Kreilen,fuel,53.1435094,6.0484154,31850772805,real,1 N31,Opeinde,Canillo,AD,9218VH,OK,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso Kolham,fuel,53.1945518,6.7005201,31598799802,real,2 Rijksweg A7,Scharmer,Canillo,AD,9616TN,EG Group,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell Zonnelaan,fuel,53.2354604,6.5394542,112,fallback,389 Zonnelaan,Groningen,Canillo,AD,9742BK,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
Polizeiwache Wanne-Eickel,police,51.5197593,7.1684315,110,fallback,99 Hauptstraße,Herne,Canillo,DE,44651,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Polizeikommissariat Bremervörde,police,53.4883153,9.1449276,49476174890,real,30 Huddelberg,Bremervörde,Canillo,DE,27432,Polizeidirektion Lüneburg,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.4893208,6.8839845,112,fallback,,El Tarter,Canillo,AD,,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,52.7190777,8.2870074,494441921437,real,63-67 Münsterstraße,Vechta,Canillo,AD,49377,,osm_enriched,2026-05-26T10:32:05.929487+00:00
TotalEnergies,fuel,53.2872554,9.2768391,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Polizeikommissariat Langenhagen,police,52.4392969,9.741526,495111094215,real,5 Ostpassage,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Unnamed fuel,fuel,51.9737409,7.4157188,112,fallback,,El Tarter,Canillo,AD,,Fa. Markfort,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,53.1931093,9.2887956,49428695120,real,1 An der Autobahn,Gyhum,Canillo,DE,27404,Birgit Bengsch,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,53.0877475,9.1765678,494205491,real,200 Everinghauser Straße,Sottrum,Canillo,DE,27367,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
HEM,fuel,53.3005529,9.2750079,112,fallback,38 Kivinanstraße,Zeven,Canillo,DE,27404,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,53.2985762,9.2769693,112,fallback,27 Labesstraße,Zeven,Canillo,DE,27404,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Demo Tank,fuel,51.9197303,8.901007,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Polizeiwache Kollegienwall,police,52.2725871,8.0524515,112,fallback,6-8 Kollegienwall,Osnabrück,Canillo,AD,49074,Polizeiinspektion Osnabrück,osm_enriched,2026-05-26T10:32:05.929487+00:00
star,fuel,51.8816819,6.9171925,112,fallback,43 Borkener Straße,Velen,Canillo,AD,46342,Serdar Solan,osm_enriched,2026-05-26T10:32:05.929487+00:00
Feuerwehr Gerätehaus Ramsdorf,fire_station,51.8870724,6.9178838,4928635677,real,38A Lange Straße,Velen,Canillo,AD,46342,Freiwillige Feuerwehr Velen,osm_enriched,2026-05-26T10:32:05.929487+00:00
RAISA eG Tankstelle,fuel,53.2845674,9.2765978,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.7212608,7.0135606,4923694240,real,8 Dülmener Straße,Dorsten,Canillo,AD,46286,Pludra Tankstellen-Abrechnungs GmbH&Co.KG,osm_enriched,2026-05-26T10:32:05.929487+00:00
Tankstelle Rösner,fuel,52.1205652,7.0931153,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Autohaus Sundermann,car_repair,52.1183795,7.0942433,112,fallback,30 Stroot,Heek,Canillo,AD,48619,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Supermarkt Tankstelle,fuel,51.8500696,6.6977901,112,fallback,21 Gronauer Straße,Rhede,Canillo,AD,46414,JET Tankstellen Deutschland GmbH,osm_enriched,2026-05-26T10:32:05.929487+00:00
Nordoel,fuel,53.9960075,9.2657345,112,fallback,11 Burgstraße,Burg (Dithmarschen),Canillo,DE,25712,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Freiwillige Feuerwehr–Löschzug Heek,fire_station,52.1187582,7.0972472,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.5928791,7.4400139,112,fallback,26 Brechtener Straße,Lünen,Canillo,DE,44536,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Weitzelpoort,fuel,52.4124046,6.6004364,112,fallback,1 Handelsweg,Vriezenveen,Canillo,AD,7671DB,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Polizeistation Vinnhorst,police,52.4120683,9.7072315,495111093191,real,3 Spierenweg,Hannover,Canillo,AD,30419,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Tankcenter Brambauer,fuel,51.6008635,7.4556943,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Carl Büttner Tanken,fuel,53.5186438,7.2803015,494934804141,real,49 Rosenstraße,Marienhafe,Canillo,AD,26529,Carl Büttner,osm_enriched,2026-05-26T10:32:05.929487+00:00
Hoofdmann,fuel,53.5275097,7.2703384,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
OIL! Tankstelle,fuel,53.1336716,8.204691,49441506400,real,27 Gartenstraße,Oldenburg,Canillo,DE,26122,H. Stamereilers,osm_enriched,2026-05-26T10:32:05.929487+00:00
Polizei Lohne,police,52.6650386,8.2303537,49444293160,real,26 Bahnhofstraße,Lohne (Oldenburg),Canillo,DE,49393,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Q1,fuel,52.3448491,7.9679787,495407857956,real,151 Hollager Straße,Wallenhorst,Canillo,DE,49134,Q1,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.712697,8.7363944,112,fallback,58 Bahnhofstraße,Paderborn,Canillo,DE,33102,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
Markant,fuel,51.7121583,8.7338858,49525134367,real,76 Bahnhofstraße,Paderborn,Canillo,DE,33102,Westfalen,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.2323534,7.1937536,112,fallback,,El Tarter,Canillo,AD,,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
Knappstein,fuel,52.1189414,7.1089955,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Bezirksdienst Wegberg,police,51.141969,6.2780439,49243410100,real,27 Bahnhofstraße,Wegberg,Canillo,DE,41844,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Total,fuel,51.1595721,6.414971,112,fallback,520 Dahlener Straße,El Tarter,Canillo,AD,41239,Total,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso,fuel,51.1659379,6.4293818,112,fallback,,El Tarter,Canillo,AD,,Esso,osm_enriched,2026-05-26T10:32:05.929487+00:00
HEM Tankstelle,fuel,52.8991663,8.4436819,112,fallback,10 Huntetor,Wildeshausen,Canillo,DE,27793,Axel Bronnenkant,osm_enriched,2026-05-26T10:32:05.929487+00:00
Raiffeisen-Tankstelle,fuel,52.9057049,8.4428686,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
HEM Wildeshausen,fuel,52.8879452,8.4184326,494431918152,real,28 Westring,Wildeshausen,Canillo,DE,27793,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Total,fuel,51.3965923,6.6580521,492151406010,real,51 Düsseldorfer Straße,Duisburg,Canillo,DE,47239,Total,osm_enriched,2026-05-26T10:32:05.929487+00:00
Westfalen Tankstelle,fuel,52.8920127,8.4149393,112,fallback,16a Westring,Wildeshausen,Canillo,DE,27793,Patrik Büger,osm_enriched,2026-05-26T10:32:05.929487+00:00
Hoyer Tank-Treff Langenhagen,fuel,52.4415947,9.7227834,112,fallback,,El Tarter,Canillo,AD,,Wilhelm Hoyer KG,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,52.4379538,9.7363459,112,fallback,15 Bothfelder Straße,Langenhagen,Canillo,AD,30851,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Raiffeisen Tankstelle,fuel,53.4300774,7.1025201,494971919350,real,Raiffeisenstraße,Krummhörn,Canillo,AD,26736,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Star Tankstelle,fuel,52.0379919,6.8167505,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,52.9452643,9.8812679,112,fallback,3 Am Hanfberg,Wietzendorf,Canillo,DE,29649,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,52.4365487,9.6774114,49511784433,real,52 Hannoversche Straße,Langenhagen,Canillo,AD,30855,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.1181483,7.1251351,112,fallback,89 Hauptstraße,Leichlingen (Rheinland),Canillo,AD,42799,Karl Heinz Buntenbach,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso,fuel,51.2507944,7.1037323,112,fallback,100 Varresbecker Straße,Wuppertal,Canillo,AD,42115,,osm_enriched,2026-05-26T10:32:05.929487+00:00
elan,fuel,52.652335,9.2179611,49502162788,real,48 Verdener Landstraße,Nienburg/Weser,Canillo,AD,31582,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Supermarkt-Tankstelle,fuel,52.6417924,9.2244594,49514143034,real,1 Kräher Weg,Nienburg/Weser,Canillo,AD,31582,Wilhelm Hoyer B.V. & Co. KG,osm_enriched,2026-05-26T10:32:05.929487+00:00
LTG,fuel,52.6589127,9.2345375,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
LEO,fuel,52.1577315,9.9493881,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Tankpool24,fuel,52.0788756,8.7247657,112,fallback,,El Tarter,Canillo,AD,,tankpool24 GmbH,osm_enriched,2026-05-26T10:32:05.929487+00:00
Westfalen Tankstelle,fuel,52.0807636,8.7209041,112,fallback,2 Am Zubringer,Bad Salzuflen,Canillo,AD,32107,Westfalen AG,osm_enriched,2026-05-26T10:32:05.929487+00:00
Freie,fuel,52.0805483,8.7204715,495222363243,real,1 A Am Zubringer,Bad Salzuflen,Canillo,AD,32107,Jürgen Ripka,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.1525633,6.4886395,112,fallback,107 Mülforter Straße,El Tarter,Canillo,AD,41238,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
LEO,fuel,52.4131062,9.6530551,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
SB-Tank,fuel,51.5481741,7.4886866,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Star,fuel,51.5028203,7.4164937,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso,fuel,51.5304738,7.4206213,112,fallback,,El Tarter,Canillo,AD,,Esso,osm_enriched,2026-05-26T10:32:05.929487+00:00
Freie Tankstelle Schröder,fuel,51.6005506,7.4373446,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
SB Tank,fuel,51.6266726,7.4957042,4923066016,real,125 Alstedder Straße,El Tarter,Canillo,AD,,N. Jeworutzken-Quick,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral Becker,fuel,51.3467715,8.2965874,112,fallback,,El Tarter,Canillo,AD,,ARAL,osm_enriched,2026-05-26T10:32:05.929487+00:00
Bezirksdienst Herdecke,police,51.4003539,7.4324744,4923302200,real,3 Kirchplatz,Herdecke,Canillo,DE,58313,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Star,fuel,53.6874272,8.5788205,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,52.6579055,8.1694555,494442803399,real,1 Von-Siemens-Straße,Lohne,Canillo,DE,49393,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso,fuel,52.6616444,8.2041283,4944425985,real,114 Dinklager Straße,Lohne (Oldenburg),Canillo,DE,49393,Hr. Menke,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.3102403,6.6346296,492151544940,real,AN DER A57,Krefeld,Canillo,DE,47809,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.5312553,7.6712965,112,fallback,11 Feldstraße,Unna,Canillo,AD,59423,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.116667,6.3306292,112,fallback,1 August-Horch-Allee,Wegberg,Canillo,DE,41844,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
Unnamed fuel,fuel,51.170932,6.341291,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.0828745,6.3117973,112,fallback,14 Krefelder Straße,Erkelenz,Canillo,AD,41812,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.197922,6.3864683,112,fallback,472 Roermonder Straße,El Tarter,Canillo,AD,41068,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
Handelshof,fuel,51.1953576,6.3874152,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Total,fuel,51.1818789,6.4115716,112,fallback,174 Bahnstraße,El Tarter,Canillo,AD,41069,Total,osm_enriched,2026-05-26T10:32:05.929487+00:00
TC-Hückelhoven,fuel,51.06867,6.185518,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.052686,6.217283,112,fallback,,El Tarter,Canillo,AD,,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
Unnamed fuel,fuel,51.1850047,6.414327,112,fallback,341 Aachener Straße,El Tarter,Canillo,AD,41069,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.0400642,6.2822128,492435654010,real,44 Krefelder Straße,Hückelhoven,Canillo,AD,41836,"Fred Pfennings GmbH & Co,KG",osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,52.4148794,9.6434917,112,fallback,19 Jädekamp,Hannover,Canillo,DE,30419,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.1948476,6.4198506,492161837907,real,60 Waldnieler Straße,Mönchengladbach,Canillo,AD,41068,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.2031445,6.4188266,112,fallback,3 Marienburger Straße,El Tarter,Canillo,DE,41063,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
